reactor_model,initial_temperature_k,pressure_atm,phi,h2_fraction,ignition_delay_ms,ignition_delay_oh_ms,criterion_difference_percent,maximum_temperature_k,temperature_rise_k,maximum_temperature_rate_k_per_s,maximum_oh_mass_fraction,recorded_points,status,error_message
constant_pressure,900.0,10.0,0.6,0.0,561.9338338494312,561.9414666790207,0.0013583146501828446,2147.8313376313736,1247.8313376313736,46808890.46230316,0.003043198931611772,3589,ignited,
constant_pressure,900.0,10.0,0.7,0.0,569.8815324030846,569.8866773093619,0.0009028027729778174,2302.3834615839787,1402.3834615839787,84120406.98587036,0.004559069660159133,3462,ignited,
constant_pressure,900.0,10.0,0.8,0.0,579.476052906809,579.4798698493026,0.0006586885643596061,2435.6686838028854,1535.6686838028854,124121746.43704224,0.006006631692202568,3693,ignited,
constant_pressure,900.0,10.0,0.9,0.0,590.271085929716,590.2740521722059,0.0005025220717293512,2541.164340248621,1641.164340248621,159456605.77990723,0.007123719814274571,3765,ignited,
constant_pressure,900.0,10.0,1.0,0.0,601.9824187351525,601.9847187036274,0.000382065722086136,2607.6129620776833,1707.6129620776833,183574206.8908081,0.007708239941131959,3991,ignited,
constant_pressure,900.0,10.0,1.1,0.0,614.419104192993,614.4208135044512,0.00027819959478901695,2616.1292816138493,1716.1292816138493,191114642.67529297,0.007661949083917599,3876,ignited,
constant_pressure,900.0,10.0,1.2,0.0,627.447392724285,627.448849479393,0.00023217167284942584,2569.322209176863,1669.322209176863,178441811.4718628,0.006916435390227272,3852,ignited,
constant_pressure,900.0,10.0,1.3,0.0,640.9705408717298,640.9722352477387,0.0002643453795254062,2501.0223198487665,1601.0223198487665,145296930.9961548,0.005259694520198663,3812,ignited,
constant_pressure,900.0,10.0,1.4,0.0,654.9165361344878,654.9192541492309,0.0004150169667631147,2428.6594495835016,1528.6594495835016,100220800.84460449,0.002638387784233397,3851,ignited,
constant_pressure,925.0,10.0,0.6,0.0,319.0686388837307,319.075766968407,0.0022340286093898605,2168.425772585293,1243.425772585293,52344949.45690155,0.0032292887591609852,3476,ignited,
constant_pressure,925.0,10.0,0.7,0.0,324.8547180294009,324.85958540067213,0.0014983224811299129,2321.5119971488252,1396.5119971488252,91752619.80168152,0.004774884085128103,3552,ignited,
constant_pressure,925.0,10.0,0.8,0.0,331.5522849491364,331.5559303956432,0.0010995087870929441,2452.8051425464973,1527.8051425464973,133393281.8739624,0.006234902123449421,3693,ignited,
constant_pressure,925.0,10.0,0.9,0.0,338.91503931901633,338.91787046124387,0.0008353545576566146,2556.0559218295393,1631.0559218295393,169898355.88079834,0.007352670830615276,3757,ignited,
constant_pressure,925.0,10.0,1.0,0.0,346.78670428124553,346.7889110078707,0.0006363354182608502,2620.982057741965,1695.982057741965,194776799.7432251,0.00793391551564624,3944,ignited,
constant_pressure,925.0,10.0,1.1,0.0,355.0625271309101,355.06418718364216,0.00046753813912086607,2630.728395929886,1705.7283959298861,202694305.8093109,0.007885096203677082,3883,ignited,
constant_pressure,925.0,10.0,1.2,0.0,363.6693098020935,363.6707262786109,0.0003894957532135138,2586.6682846159592,1661.6682846159592,190071243.91882324,0.007141954051676084,3850,ignited,
constant_pressure,925.0,10.0,1.3,0.0,372.55420377268365,372.55582423887347,0.00043496118777088704,2519.9200945045723,1594.9200945045723,156605690.32847595,0.005502510828761684,3795,ignited,
constant_pressure,925.0,10.0,1.4,0.0,381.6779225010996,381.6804610703263,0.000665107693439542,2448.3452903355605,1523.3452903355605,110364170.85458374,0.002900117008792603,3852,ignited,
constant_pressure,950.0,10.0,0.6,0.0,187.86317754648564,187.86981089568528,0.003530946982939423,2189.012657839612,1239.012657839612,58357578.041137695,0.003421603277861239,3444,ignited,
constant_pressure,950.0,10.0,0.7,0.0,192.1085897948093,192.11318683133678,0.002392936480557963,2340.5677703069045,1390.5677703069045,99899329.82168579,0.004995809477725218,3617,ignited,
constant_pressure,950.0,10.0,0.8,0.0,196.86994898315547,196.87344084344193,0.0017736888257933584,2469.8210075141255,1519.8210075141255,143202341.1316986,0.006467310942902549,3710,ignited,
constant_pressure,950.0,10.0,0.9,0.0,202.0074501640465,202.01019272229675,0.0013576520311603378,2570.8384141912934,1620.8384141912934,180919260.7986145,0.007585348803390988,3700,ignited,
constant_pressure,950.0,10.0,1.0,0.0,207.4328033531193,207.43494479934034,0.0010323565927931747,2634.2901202320386,1684.2901202320386,206576170.10009766,0.008162996735498605,3772,ignited,
constant_pressure,950.0,10.0,1.1,0.0,213.08705581972904,213.08866799909572,0.0007565824965163652,2645.1701418704865,1695.1701418704865,214898859.35617065,0.008111575545712436,3775,ignited,
constant_pressure,950.0,10.0,1.2,0.0,218.9291709266575,218.9305447786603,0.0006275326385237145,2603.8466978506317,1653.8466978506317,202321993.47250366,0.007370594099703363,3938,ignited,
constant_pressure,950.0,10.0,1.3,0.0,224.9296048653798,224.9311553038992,0.000689299445639542,2538.750684922873,1588.750684922873,168556949.74084473,0.005747630419693776,3876,ignited,
constant_pressure,950.0,10.0,1.4,0.0,231.06645486998852,231.06881790102577,0.0010226629558054193,2468.0300884246876,1518.0300884246876,121201695.71595764,0.0031669487480460584,3826,ignited,
constant_pressure,975.0,10.0,0.6,0.0,114.35179937363476,114.3579890617275,0.0054128471319527275,2209.5786573116393,1234.5786573116393,64858249.485069275,0.003620048787465315,3408,ignited,
constant_pressure,975.0,10.0,0.7,0.0,117.49728577850114,117.50162664726757,0.003694441737673039,2359.537503459858,1384.5375034598578,108570019.03999329,0.005221668943158935,3645,ignited,
constant_pressure,975.0,10.0,0.8,0.0,120.93815401298845,120.94148518954485,0.0027544463396084627,2486.7080473114834,1511.7080473114834,153579624.53564453,0.006703720626430169,3696,ignited,
constant_pressure,975.0,10.0,0.9,0.0,124.59329144728022,124.59593038152349,0.0021180387905409314,2585.5093540482912,1610.5093540482912,192531499.40927124,0.007821484500078687,3717,ignited,
constant_pressure,975.0,10.0,1.0,0.0,128.4118388648032,128.41391668147753,0.0016180880927321878,2647.5343004661604,1672.5343004661604,218988922.27893066,0.008395386854336603,3876,ignited,
constant_pressure,975.0,10.0,1.1,0.0,132.36006971444445,132.36163772410185,0.0011846546022431783,2659.456606863833,1684.4566068638328,227734699.60491943,0.008341293148900225,3855,ignited,
constant_pressure,975.0,10.0,1.2,0.0,136.4146181310378,136.41594540061698,0.0009729672650649777,2620.8431961006095,1645.8431961006095,215222651.77191162,0.007602285259112592,3827,ignited,
constant_pressure,975.0,10.0,1.3,0.0,140.55877110102614,140.5602568807986,0.0010570523353421889,2557.4960222083837,1582.4960222083837,181168745.23254395,0.00599496831381052,3910,ignited,
constant_pressure,975.0,10.0,1.4,0.0,144.78018932910194,144.7824115734823,0.0015349091548094093,2487.6985212799486,1512.6985212799486,132758868.50616455,0.0034378127193762952,3910,ignited,
constant_pressure,1000.0,10.0,0.6,0.0,71.7552330330838,71.76102324558305,0.008069394042076109,2230.1096436458097,1230.1096436458097,71870078.32575226,0.003824513548787734,3305,ignited,
constant_pressure,1000.0,10.0,0.7,0.0,74.10485982897312,74.10900154648817,0.005588995815676456,2378.407863302537,1378.407863302537,117787468.69831848,0.005452370358934071,3407,ignited,
constant_pressure,1000.0,10.0,0.8,0.0,76.62337438104441,76.62657691484715,0.004179578136051834,2503.4583863293924,1503.4583863293924,164524331.32948303,0.006943973068901354,3678,ignited,
constant_pressure,1000.0,10.0,0.9,0.0,79.26300659530455,79.26554600569135,0.0032037775197803556,2600.0662387158395,1600.0662387158395,204745713.2301941,0.00806099479665264,3633,ignited,
constant_pressure,1000.0,10.0,1.0,0.0,81.99412584560625,81.99613358554062,0.002448638745354855,2660.711727303837,1660.711727303837,232048511.8690796,0.008630985357865786,3789,ignited,
constant_pressure,1000.0,10.0,1.1,0.0,84.79725912571033,84.79877668642673,0.001789634160413639,2673.5901874321207,1673.5901874321207,241219180.79803467,0.008574118609156996,3771,ignited,
constant_pressure,1000.0,10.0,1.2,0.0,87.6590683521683,87.66035747497288,0.0014706097484401756,2637.6447051401447,1637.6447051401447,228790569.72103882,0.007836913045406686,3830,ignited,
constant_pressure,1000.0,10.0,1.3,0.0,90.5700947292689,90.5715256770057,0.0015799340180337224,2576.137975639449,1576.137975639449,194446715.24295044,0.00624445592059661,3859,ignited,
constant_pressure,1000.0,10.0,1.4,0.0,93.52342645393757,93.5255106316395,0.0022285087073428303,2507.3349080622993,1507.3349080622993,145042844.11206055,0.0037118209094079194,3742,ignited,
constant_pressure,1025.0,10.0,0.6,0.0,46.28901428994415,46.294441384876386,0.011724369195341103,2250.5873434019663,1225.5873434019663,79403721.8482666,0.00403480569126648,3283,ignited,
constant_pressure,1025.0,10.0,0.7,0.0,48.05357868447946,48.057508056267054,0.008177063800788769,2397.161906417131,1372.161906417131,127566050.1244049,0.005687607683299671,3518,ignited,
constant_pressure,1025.0,10.0,0.8,0.0,49.91313801673866,49.91619742335878,0.006129461584039488,2520.0611784966486,1495.0611784966486,176065752.07357788,0.00718786252388745,3580,ignited,
constant_pressure,1025.0,10.0,0.9,0.0,51.839312755444205,51.841772115490784,0.004744198786317673,2614.50369721926,1589.5036972192602,217579924.58894348,0.008303687953972044,3574,ignited,
constant_pressure,1025.0,10.0,1.0,0.0,53.81477575700874,53.81671503698056,0.003603619906507355,2673.816721115519,1648.8167211155192,245736098.61436462,0.00886962442560795,3752,ignited,
constant_pressure,1025.0,10.0,1.1,0.0,55.82832600380757,55.829806195791704,0.0026513279012433917,2687.569871958921,1662.5698719589209,255369371.8421936,0.008809924294380047,3637,ignited,
constant_pressure,1025.0,10.0,1.2,0.0,57.87241284322117,57.87366913776967,0.0021708003637253724,2654.235973508946,1629.2359735089458,243041979.6261902,0.008074290124655058,3826,ignited,
constant_pressure,1025.0,10.0,1.3,0.0,59.94178501505932,59.94315695606431,0.002288789038640552,2594.6529587612094,1569.6529587612094,208446493.51416016,0.006495934596309334,3799,ignited,
constant_pressure,1025.0,10.0,1.4,0.0,62.032647113491514,62.034610597420446,0.003165242852429201,2526.9170293852185,1501.9170293852185,158075525.79977417,0.003988255853498725,3878,ignited,
constant_pressure,1050.0,10.0,0.6,0.0,30.615163806985652,30.620271531789417,0.016683643556396233,2270.9954795821845,1220.9954795821845,87467269.35623169,0.004250723876808258,3292,ignited,
constant_pressure,1050.0,10.0,0.7,0.0,31.943889163163362,31.947625894963068,0.01169779853861475,2415.785018976033,1365.785018976033,137899655.34181213,0.005927171660871415,3494,ignited,
constant_pressure,1050.0,10.0,0.8,0.0,33.32412147053958,33.32704429385378,0.008770893830718468,2536.5077266169296,1486.5077266169296,188210465.51837158,0.007435139258555205,3614,ignited,
constant_pressure,1050.0,10.0,0.9,0.0,34.73895119873151,34.74131075213466,0.0067922413363818305,2628.81749148569,1578.81749148569,231050845.86767578,0.00854938931760696,3614,ignited,
constant_pressure,1050.0,10.0,1.0,0.0,36.17832154160425,36.18019940102261,0.005190565339535956,2686.8441586547333,1636.8441586547333,260109094.08233643,0.009111104670803567,3746,ignited,
constant_pressure,1050.0,10.0,1.1,0.0,37.63588363637421,37.637326527312354,0.0038338170881927363,2701.3955410350686,1651.3955410350686,270216372.34484863,0.009048497590015407,3600,ignited,
constant_pressure,1050.0,10.0,1.2,0.0,39.107500612465806,39.10871655680382,0.0031092356171353104,2670.603667901764,1620.6036679017639,257998470.59002686,0.00831428321038942,3735,ignited,
constant_pressure,1050.0,10.0,1.3,0.0,40.59038104676531,40.591698576251794,0.00324591554084489,2613.0185036435046,1563.0185036435046,223144845.82913208,0.006749269470310742,3735,ignited,
constant_pressure,1050.0,10.0,1.4,0.0,42.08257203887649,42.08441516742579,0.004379790635405723,2546.4229113608594,1496.4229113608594,171861480.08935547,0.0042665983812148955,3601,ignited,
constant_pressure,1075.0,10.0,0.6,0.0,20.703526714145823,20.708311793944873,0.02311238981221372,2291.3224631195662,1216.3224631195662,96075557.75241089,0.004472102070192202,3187,ignited,
constant_pressure,1075.0,10.0,0.7,0.0,21.70455866558707,21.70813518251369,0.016478183139894638,2434.2677145398934,1359.2677145398934,148837727.95516968,0.006170871917644892,3349,ignited,
constant_pressure,1075.0,10.0,0.8,0.0,22.731628081799155,22.73443705013469,0.012357092617511268,2552.7945752020887,1477.7945752020887,200979576.6388855,0.0076857325700798295,3563,ignited,
constant_pressure,1075.0,10.0,0.9,0.0,23.774714465439608,23.77698914989136,0.009567662547782322,2643.0076205410132,1568.0076205410132,245191842.53015137,0.008797975261345018,3558,ignited,
constant_pressure,1075.0,10.0,1.0,0.0,24.828072868101216,24.82989262883872,0.007329448190247354,2699.7931978179736,1624.7931978179736,275144088.14505005,0.009355337531871313,3522,ignited,
constant_pressure,1075.0,10.0,1.1,0.0,25.888251234880276,25.889651859726968,0.005410272150035741,2715.071234079827,1640.0712340798268,285753129.0650635,0.009289767333117923,3619,ignited,
constant_pressure,1075.0,10.0,1.2,0.0,26.953114884390878,26.954300595627515,0.004399162181154072,2686.74226934562,1611.7422693456201,273668519.4456787,0.008556780914329145,3654,ignited,
constant_pressure,1075.0,10.0,1.3,0.0,28.021333679763544,28.022604894636153,0.004536596605776661,2631.218769460864,1556.2187694608642,238579851.59951782,0.007004419590095816,3680,ignited,
constant_pressure,1075.0,10.0,1.4,0.0,29.092060751976987,29.09379711646201,0.005968516633545092,2565.8369032978176,1490.8369032978176,186422320.80142212,0.004546487158171005,3647,ignited,
constant_pressure,1100.0,10.0,0.6,0.0,14.277050130423243,14.281559144063536,0.0315822498282376,2311.5568165236227,1211.5568165236227,105249215.84410095,0.004698756006372653,3267,ignited,
constant_pressure,1100.0,10.0,0.7,0.0,15.030552770605425,15.033934428795236,0.022498561705757973,2452.601309483727,1352.6013094837272,160350240.4903717,0.006418557300243771,3340,ignited,
constant_pressure,1100.0,10.0,0.8,0.0,15.79546687603921,15.798169258895069,0.01710859753033123,2568.9186354464937,1468.9186354464937,214366679.3859558,0.007939430752470585,3493,ignited,
constant_pressure,1100.0,10.0,0.9,0.0,16.56594484659872,16.5681469540136,0.013292978065981904,2657.0746182276234,1557.0746182276234,259980718.06271362,0.009049321563677286,3477,ignited,
constant_pressure,1100.0,10.0,1.0,0.0,17.338807352605375,17.340565702423312,0.01014112321671752,2712.6627629822556,1612.6627629822556,290873983.6958618,0.00960221126093519,3609,ignited,
constant_pressure,1100.0,10.0,1.1,0.0,18.112318080254926,18.11367992481938,0.007518886088566526,2728.60111549908,1628.6011154990802,302004708.541626,0.009533629713086026,3636,ignited,
constant_pressure,1100.0,10.0,1.2,0.0,18.885527753665723,18.886678784196665,0.006094775565475194,2702.647816114895,1602.6478161148948,290064948.35183716,0.008801708133632376,3594,ignited,
constant_pressure,1100.0,10.0,1.3,0.0,19.657947736992035,19.659169965546294,0.006217477890423387,2649.2386974298847,1549.2386974298847,254765443.1015625,0.007261327831450561,3587,ignited,
constant_pressure,1100.0,10.0,1.4,0.0,20.429366209927522,20.43100758294333,0.008034380503738711,2585.1434384619397,1485.1434384619397,201777420.72183228,0.004827734509988322,3649,ignited,
constant_pressure,900.0,10.0,0.6,0.2,223.05750856009192,223.0641972134652,0.002998622828913405,2159.4067720845023,1259.4067720845023,57491760.14880371,0.0032073883123009757,3443,ignited,
constant_pressure,900.0,10.0,0.7,0.2,207.21834419849,207.22284242720758,0.0021707676195265417,2314.089419334871,1414.0894193348709,100438307.49404907,0.0048014742932720724,3500,ignited,
constant_pressure,900.0,10.0,0.8,0.2,194.4419944346617,194.4453669319925,0.001734449052850365,2447.1128425101306,1547.1128425101306,144681424.5541687,0.006323135070830148,3895,ignited,
constant_pressure,900.0,10.0,0.9,0.2,183.8591418569712,183.861772978301,0.001431052763115423,2552.237925091032,1652.2379250910321,182311604.1079712,0.007495930154685829,3959,ignited,
constant_pressure,900.0,10.0,1.0,0.2,174.91250517139002,174.91452488126592,0.0011546972435827721,2618.6830825301654,1718.6830825301654,206756158.05117798,0.00810989561017118,3903,ignited,
constant_pressure,900.0,10.0,1.1,0.2,167.22570567625053,167.22722390296582,0.0009078907510967154,2628.688894218827,1728.688894218827,212913853.49734497,0.008065084284103421,3970,ignited,
constant_pressure,900.0,10.0,1.2,0.2,160.53384245282356,160.53520093328845,0.000846226841724292,2585.1453862225553,1685.1453862225553,197654653.2070923,0.007271102515175558,3851,ignited,
constant_pressure,900.0,10.0,1.3,0.2,154.6442357770594,154.64584572503705,0.001041065623656627,2520.2090684243744,1620.2090684243744,161571593.5958252,0.005526038716876743,3940,ignited,
constant_pressure,900.0,10.0,1.4,0.2,149.41272824446358,149.41524634584877,0.0016853325782740648,2450.918069370093,1550.9180693700928,114051436.40397644,0.0028498247569426574,3945,ignited,
constant_pressure,925.0,10.0,0.6,0.2,113.66838218397186,113.6746036377629,0.005473337151022972,2179.9428451648578,1254.9428451648578,64242613.9879303,0.003402718466188154,3442,ignited,
constant_pressure,925.0,10.0,0.7,0.2,105.37094007131077,105.37519955266156,0.004042368178459344,2333.1326764945893,1408.1326764945893,109441035.23666382,0.0050283582165167335,3647,ignited,
constant_pressure,925.0,10.0,0.8,0.2,98.70751475900316,98.7107359072239,0.0032633262306424496,2464.1572608241045,1539.1572608241045,155371314.90394592,0.00656300495992259,3762,ignited,
constant_pressure,925.0,10.0,0.9,0.2,93.20981990119644,93.21233536216121,0.002698708105475648,2567.060051072434,1642.060051072434,194180901.31388855,0.007736292118448092,3680,ignited,
constant_pressure,925.0,10.0,1.0,0.2,88.57892016137498,88.58088015918975,0.002212713601830476,2632.008331640251,1707.008331640251,219359307.66137695,0.008346516494322782,3827,ignited,
constant_pressure,925.0,10.0,1.1,0.2,84.61358601767682,84.6150549713588,0.0017360730718490808,2643.162111121499,1718.162111121499,225857512.4416809,0.00829921294520135,3943,ignited,
constant_pressure,925.0,10.0,1.2,0.2,81.17262696562182,81.17394571130927,0.0016246187129248287,2602.2726133209403,1677.2726133209403,210600885.863739,0.0075087948686775935,3987,ignited,
constant_pressure,925.0,10.0,1.3,0.2,78.15361289942939,78.15515353474296,0.001971291225598299,2538.904282226584,1613.9042822265842,174141008.54779053,0.0057829598940449195,3975,ignited,
constant_pressure,925.0,10.0,1.4,0.2,75.48006123629136,75.48242474435537,0.0031313012010001588,2470.434055790148,1545.4340557901478,125349876.41067505,0.00312464989061193,3953,ignited,
constant_pressure,950.0,10.0,0.6,0.2,60.05003092964493,60.05579859313547,0.009604763563394559,2200.465167146388,1250.465167146388,71539429.49372864,0.003604728429333735,3503,ignited,
constant_pressure,950.0,10.0,0.7,0.2,55.576581748142175,55.58058919240471,0.0072106706394693435,2352.0979105730175,1402.0979105730175,119012383.92640686,0.005260659848344755,3524,ignited,
constant_pressure,950.0,10.0,0.8,0.2,52.00168693725717,52.00474875797178,0.0058879257480773895,2481.0786320987213,1531.0786320987213,166657106.03030396,0.006807193426603251,3887,ignited,
constant_pressure,950.0,10.0,0.9,0.2,49.06551112055476,49.06793171226775,0.00493338733808976,2581.7721374590815,1631.7721374590815,206670200.88754272,0.007980352293236757,3810,ignited,
constant_pressure,950.0,10.0,1.0,0.2,46.60285157261497,46.604737771654584,0.004047389753975446,2645.270217635324,1695.2702176353241,232593372.6500244,0.0085866265003967,3857,ignited,
constant_pressure,950.0,10.0,1.1,0.2,44.502868897904705,44.50430276726815,0.003221970625613317,2657.4804993920948,1707.4804993920948,239454594.74972534,0.008536661801238805,3826,ignited,
constant_pressure,950.0,10.0,1.2,0.2,42.68803480466953,42.689310449910685,0.0029882969478333423,2619.2253493312573,1669.2253493312573,224216231.35784912,0.007749530601210891,3897,ignited,
constant_pressure,950.0,10.0,1.3,0.2,41.102240387743,41.10371359348515,0.0035842468153888573,2557.5167473381566,1607.5167473381566,187394903.85839844,0.006041993881714725,3943,ignited,
constant_pressure,950.0,10.0,1.4,0.2,39.70367420087275,39.70587981550547,0.005555190236457101,2489.9318808101784,1539.9318808101784,137399249.95043945,0.0034046140375024133,3961,ignited,
constant_pressure,975.0,10.0,0.6,0.2,32.756095815021986,32.761464264915226,0.0163891628708017,2220.9603255710317,1245.9603255710317,79397626.55848694,0.00381331966976221,3458,ignited,
constant_pressure,975.0,10.0,0.7,0.2,30.292072621640806,30.29586984555958,0.012535371766080609,2370.972057525949,1395.972057525949,129171158.09350586,0.00549820446828826,3586,ignited,
constant_pressure,975.0,10.0,0.8,0.2,28.334682700291168,28.3376169895297,0.010355821766450942,2497.86891621129,1522.86891621129,178548757.77246094,0.007055515481638059,3767,ignited,
constant_pressure,975.0,10.0,0.9,0.2,26.73616107878751,26.738501011033513,0.008751938017978082,2596.371744431382,1621.371744431382,219779109.11628723,0.008227967942905414,3752,ignited,
constant_pressure,975.0,10.0,1.0,0.2,25.40294884074891,25.404766266339003,0.007154388262115678,2658.4661291102557,1683.4661291102557,246478893.28729248,0.00883001742867031,3742,ignited,
constant_pressure,975.0,10.0,1.1,0.2,24.272511065025416,24.27390135798982,0.005727849750200323,2671.6457424937266,1696.6457424937266,253728989.07092285,0.00877730696905079,3867,ignited,
constant_pressure,975.0,10.0,1.2,0.2,23.30120703517719,23.302440198232652,0.005292271141154709,2635.990383435927,1660.990383435927,238525479.44244385,0.007993195963103272,3881,ignited,
constant_pressure,975.0,10.0,1.3,0.2,22.457549606237013,22.458954037562048,0.006253715786717709,2576.0286857730284,1601.0286857730284,201352456.69644165,0.006303058841072156,3671,ignited,
constant_pressure,975.0,10.0,1.4,0.2,21.718093221210367,21.720148556360424,0.009463699824486051,2509.3959175259993,1534.3959175259993,150207048.3203354,0.003688560866438811,3727,ignited,
constant_pressure,1000.0,10.0,0.6,0.2,18.40895777511479,18.413973904580555,0.027248307737151593,2241.4141356556975,1241.4141356556975,87825770.24633789,0.00402835699811945,3379,ignited,
constant_pressure,1000.0,10.0,0.7,0.2,17.03230967702391,17.03590286005854,0.02109627585902196,2389.741942489574,1389.7419424895738,139924535.27183533,0.005740798040033814,3450,ignited,
constant_pressure,1000.0,10.0,0.8,0.2,15.947340969479892,15.95014644382603,0.017592113641434034,2514.5204240650487,1514.5204240650487,191059835.06472778,0.007307783200016913,3560,ignited,
